algorithm,omp_schedule,chunk,replication,time
stencil2d,guided,32,10,1.88816
mandelbrot,guided,64,1,2.56121
stencil2d,guided,64,1,1.97801
mandelbrot,guided,64,2,2.57212
stencil2d,guided,64,2,1.86201
mandelbrot,guided,64,3,2.59174
stencil2d,guided,64,3,1.84713
mandelbrot,guided,64,4,2.55604
stencil2d,guided,64,4,1.87023
mandelbrot,guided,64,5,2.58727
stencil2d,guided,64,5,1.88252
mandelbrot,guided,64,6,2.54871
stencil2d,guided,64,6,1.86256
mandelbrot,guided,64,7,2.59051
stencil2d,guided,64,7,1.9069
mandelbrot,guided,64,8,2.63071
stencil2d,guided,64,8,2.07561
mandelbrot,guided,64,9,2.60939
stencil2d,guided,64,9,1.86909
mandelbrot,guided,64,10,2.55286
stencil2d,guided,64,10,1.89055
mandelbrot,auto,1,1,1.22512
stencil2d,auto,1,1,3.44587
mandelbrot,auto,1,2,1.22603
stencil2d,auto,1,2,3.52917
mandelbrot,auto,1,3,1.2256
stencil2d,auto,1,3,3.46866
mandelbrot,auto,1,4,1.22681
stencil2d,auto,1,4,3.41926
mandelbrot,auto,1,5,1.55845
stencil2d,auto,1,5,3.43917
mandelbrot,auto,1,6,1.22707
stencil2d,auto,1,6,3.45538
mandelbrot,auto,1,7,1.22696
stencil2d,auto,1,7,3.40273
mandelbrot,auto,1,8,1.2269
stencil2d,auto,1,8,3.45223
mandelbrot,auto,1,9,1.22652
stencil2d,auto,1,9,3.4369
mandelbrot,auto,1,10,1.22612
stencil2d,auto,1,10,3.40588
mandelbrot,auto,2,1,1.22686
stencil2d,auto,2,1,3.13626
mandelbrot,auto,2,2,1.51119
stencil2d,auto,2,2,2.85674
mandelbrot,auto,2,3,1.22675
stencil2d,auto,2,3,2.84677
mandelbrot,auto,2,4,1.22628
stencil2d,auto,2,4,2.84532
mandelbrot,auto,2,5,1.22583
stencil2d,auto,2,5,2.85332
mandelbrot,auto,2,6,1.22647
stencil2d,auto,2,6,2.92819
mandelbrot,auto,2,7,1.22605
stencil2d,auto,2,7,2.87765
mandelbrot,auto,2,8,1.22651
